file_nm,security,time,open,high,low,last,settled,change,vol,prev_settled,prev_vol,pre_int
market/Settlements/1_2_2017_ags_settlements.txt,ACF Ethanol Futures,FEB17,1.492,1.492,1.467,1.483,1.481,-.012,43,1.493,198,204
market/Settlements/1_2_2017_ags_settlements.txt,ACF Ethanol Futures,MAR17,1.530,1.530,1.474,1.512,1.511,-.003,244,1.514,250,3261
market/Settlements/1_2_2017_ags_settlements.txt,ACF Ethanol Futures,APR17,1.532,1.537,1.505,1.534,1.532,-.008,209,1.540,38,1047
market/Settlements/1_2_2017_ags_settlements.txt,ACF Ethanol Futures,MAY17,1.531,1.540,1.531,1.540,1.548,-.008,215,1.556,2,307
market/Settlements/1_2_2017_ags_settlements.txt,AIR AIRASIA SSF,FEB17,,,,,,0,,2.56,,
market/Settlements/1_2_2017_ags_settlements.txt,AIR AIRASIA SSF,MAR17,,,,,,0,,2.56,,
market/Settlements/1_2_2017_ags_settlements.txt,AIR AIRASIA SSF,JUN17,,,,,,0,,2.56,,
market/Settlements/1_2_2017_ags_settlements.txt,AJC MGEX APPLE JUICE FUTURE,MAR17,,,,,5.1500,0,,5.1500,,12
market/Settlements/1_2_2017_ags_settlements.txt,AJC MGEX APPLE JUICE FUTURE,MAY17,,,,,5.2500,0,,5.2500,,28
market/Settlements/1_2_2017_ags_settlements.txt,AJC MGEX APPLE JUICE FUTURE,JLY17,,,,,5.2500,0,,5.2500,,10
market/Settlements/1_2_2017_ags_settlements.txt,AMM AMMB SSF,FEB17,,,,,,0,,4.62,,
market/Settlements/1_2_2017_ags_settlements.txt,AMM AMMB SSF,MAR17,,,,,,0,,4.62,,
market/Settlements/1_2_2017_ags_settlements.txt,AMM AMMB SSF,JUN17,,,,,,0,,4.62,,
market/Settlements/1_2_2017_ags_settlements.txt,AW Bloomberg Commodity Index Futures,MAR17,87.9,88.7,87.9,88.6,88.6,+.9,2661,87.7,562,35047
market/Settlements/1_2_2017_ags_settlements.txt,AW Bloomberg Commodity Index Futures,JUN17,,,,,88.6,+.9,,87.7,,
market/Settlements/1_2_2017_ags_settlements.txt,AW Bloomberg Commodity Index Futures,SEP17,,,,,88.6,+.9,,87.7,,
market/Settlements/1_2_2017_ags_settlements.txt,AW Bloomberg Commodity Index Futures,DEC17,,,,,88.6,+.9,,87.7,,
market/Settlements/1_2_2017_ags_settlements.txt,BCX SOYBEAN CRUSH,MAR17,,84.2,78.2,79.6,79.6,-4.2,,84.0,,
market/Settlements/1_2_2017_ags_settlements.txt,BCX SOYBEAN CRUSH,MAY17,,85.2,78.6,80.6,80.6,-4.0,,84.6,,
market/Settlements/1_2_2017_ags_settlements.txt,BCX SOYBEAN CRUSH,JLY17,,84.4,78.6,80.4,80.4,-4.0,,84.4,,
market/Settlements/1_2_2017_ags_settlements.txt,BCX SOYBEAN CRUSH,AUG17,,84.4,74.0,78.0,78.0,-4.0,,82.0,,
market/Settlements/1_2_2017_ags_settlements.txt,BO Soybean Oil Futurez,MAR17,33.85,34.43,33.80,34.31,34.31,+.46,43893,33.85,55990,170887
market/Settlements/1_2_2017_ags_settlements.txt,BO Soybean Oil Futurez,MAY17,34.15,34.71,34.08,34.60,34.60,+.46,18547,34.14,27034,96019
market/Settlements/1_2_2017_ags_settlements.txt,BO Soybean Oil Futurez,JLY17,34.41,34.96,34.34,34.86,34.86,+.46,16522,34.40,12914,81187
market/Settlements/1_2_2017_ags_settlements.txt,BO Soybean Oil Futurez,AUG17,34.40,34.97,34.39,34.90,34.92,+.48,1443,34.44,1665,9456
market/Settlements/1_2_2017_ags_settlements.txt,BRS BURSA MALAYSIA - SSF,FEB17,,,,,,0,,8.88,,
market/Settlements/1_2_2017_ags_settlements.txt,BRS BURSA MALAYSIA - SSF,MAR17,,,,,,0,,8.88,,
market/Settlements/1_2_2017_ags_settlements.txt,BRS BURSA MALAYSIA - SSF,JUN17,,,,,,0,,8.88,,
market/Settlements/1_2_2017_ags_settlements.txt,BST BERJAYA SPORTS - SSF,FEB17,,,,,,0,,2.94,,
market/Settlements/1_2_2017_ags_settlements.txt,BST BERJAYA SPORTS - SSF,MAR17,,,,,,0,,2.94,,
market/Settlements/1_2_2017_ags_settlements.txt,BST BERJAYA SPORTS - SSF,JUN17,,,,,,0,,2.94,,
market/Settlements/1_2_2017_ags_settlements.txt,C Corn Futures,MAR17,360.0,368.4,358.0,367.2,368.2,+8.4,221378,359.6,144840,581212
market/Settlements/1_2_2017_ags_settlements.txt,C Corn Futures,MAY17,367.0,375.6,365.2,372.0,375.6,+8.6,69738,367.0,41593,246374
market/Settlements/1_2_2017_ags_settlements.txt,C Corn Futures,JLY17,373.4,382.6,372.0,382.0,382.6,+9.0,53807,373.6,36421,243136
market/Settlements/1_2_2017_ags_settlements.txt,C Corn Futures,SEP17,380.2,389.2,378.6,388.4,389.2,+8.6,14999,380.4,12664,92506
market/Settlements/1_2_2017_ags_settlements.txt,C3S KC HRW Calendar Spread Options - March/July Synthe,MAR17,,,,,-25.0,+.2,,-24.6,,
market/Settlements/1_2_2017_ags_settlements.txt,CB CME CASH SETTLED BUTTER FUTURES,JAN17,,,,,225.680,0,,225.000,,882
market/Settlements/1_2_2017_ags_settlements.txt,CB CME CASH SETTLED BUTTER FUTURES,FEB17,222.875,223.025,222.000,222.050,222.025,-2.950,31,224.975,,858
market/Settlements/1_2_2017_ags_settlements.txt,CB CME CASH SETTLED BUTTER FUTURES,MAR17,227.000,227.000,226.725,226.725,226.750,-.250,7,227.000,15,783
market/Settlements/1_2_2017_ags_settlements.txt,CB CME CASH SETTLED BUTTER FUTURES,APR17,229.000,229.000,227.700,227.700,227.700,-.300,10,228.000,8,664
market/Settlements/1_2_2017_ags_settlements.txt,CKS KC HRW Calendar Spread Options - July/Dec Syntheti,JLY17,,,,,-35.2,-.4,,-35.6,,
market/Settlements/1_2_2017_ags_settlements.txt,CKW KCB-CBT WHT SPRD SYN,JLY17,,,,,5.6,-1.2,,7.0,,
market/Settlements/1_2_2017_ags_settlements.txt,CKW KCB-CBT WHT SPRD SYN,DEC17,,,,,9.6,-.4,,10.2,,
market/Settlements/1_2_2017_ags_settlements.txt,CPC MALYSN PALM OIL SWAP,FEB17,,,,,684.00,0,,684.00,,1720
market/Settlements/1_2_2017_ags_settlements.txt,CPC MALYSN PALM OIL SWAP,MAR17,,,,,669.00,0,,669.00,,2000
market/Settlements/1_2_2017_ags_settlements.txt,CPC MALYSN PALM OIL SWAP,APR17,,,,,655.75,0,,655.75,,2132
market/Settlements/1_2_2017_ags_settlements.txt,CPC MALYSN PALM OIL SWAP,MAY17,,,,,641.25,0,,641.25,,2312
